Post URL,User,Author Name,Likes,Views,Shares,Comments,Comments Data,Caption,HashTags,Music,Date Posted,Date Collected
https://www.tiktok.com/@minging888/6881121438632267010,minging888,黃吉吉的無聊日子,17700000,148300000,1200000,92700,"[""Omg looks exactly like puppy..I found my fur baby's sibling😳😳😳 🥺🥺🥺"", '🥰🥰🥰🥰 How sweet 🥰🥰']",,#dogsoftiktok #dogs #puppy #fyp #outfit I alway choice my outfit✌️✌️✌️🤣🤣,Tampa Curhat Beat,2020-10-08 11:15:36,2023-11-19 01:18:18.655167
https://www.tiktok.com/@jaadiee/7198199504405843205,jaadiee,Jaadiee,14600000,105300000,338200,114200,"['this world finna end', 'Gramps got it']",Replying to @Big T. Styling the Big Red Boot 🅱️🥵👴🏻 ,#gramps #bigredboot #mschf #streetwear #fashion #styling #outfit #astroboy ,HOTEL LOBBY (Unc & Phew),2023-02-09 22:20:28,2023-11-19 01:18:20.483374
https://www.tiktok.com/@bobocu.id/6985733305312300315,bobocu.id,BoBocu,14100000,173500000,161400,99500,"['Sound removed 😒😒😒', 'how many times have you watched this?\nbutterfly 👁️👄👁️']","🔊 simple simple bo bo cu ,simple simple bo bo cu  ",#bobocu #outfit,,2021-07-17 09:03:09,2023-11-19 01:18:22.014007
https://www.tiktok.com/@itsxanthiaa/6993113843958418690,itsxanthiaa,Xan,7400000,54100000,41000,42700,"['YPU GOTTA FLUFF YOUR HAIR AND LOOK LIKE AUNT CASS', 'My mouth literally DROPPED']",Reply to @mollys_jolly_brolly I’m sad because this was the closest I have to the Pixar Mum fit 😭😭 ,#pixarmum #outfit,Cognac Queen,2021-08-06 06:23:21,2023-11-19 01:18:23.939106
https://www.tiktok.com/@kramzurc13/7109515306787360046,kramzurc13,Mark 💀,7300000,52700000,54100,53900,"['Oh nah 💀', 'not her running like a celebrity ignoring the paparazzi']",,#emo #outfit,original sound,2022-06-15 22:40:26,2023-11-19 01:18:25.806381
https://www.tiktok.com/@vivacious.honey/7029001518082936111,vivacious.honey,Vanessa Chen,6100000,55900000,35200,15800,"['2nd fit I would switch LOL it’s backwards', 'day']",Team DAY or NIGHT? ☀️🌙 OUTFITS ON MY LTK ‼️ ,#fyp #foryou #fashiontok #inspo #aesthetic #fashion #ootd #outfit #style #fallfashion #winterfashion,SAD GIRLZ LUV MONEY - Remix,2021-11-10 23:25:51,2023-11-19 01:18:27.881900
https://www.tiktok.com/@iconicakes/6898403158473723138,iconicakes,sara & avni,5800000,27900000,6521,10500,"['HARRY STYLES', ""POV: you're scrolling through #kendalljenner""]",Reply to @annabelrdrs what celebrity should I embody tomorrow? ,#kendalljenner #style #outfit #makeup #hairdye,original sound,2020-11-24 00:57:30,2023-11-19 01:18:29.706181
https://www.tiktok.com/@liisa.niiko/6947007648239766790,liisa.niiko,Lisa&Niko,5600000,39400000,136300,49600,"['i thought it was a child', '@_joy_rj 🥰']",Outfit of the day🥶 ,#viral #outfit #trend #match #calvinklein #mcqueen,original sound,2021-04-04 00:27:45,2023-11-19 01:18:31.617357
https://www.tiktok.com/@jaadiee/7265723058801904928,jaadiee,Jaadiee,5300000,46500000,90200,35500,"['Gramps does it every time 🔥🔥🔥🔥🔥🔥', 'thats actually fire']",Replying to @Johnny Anzeige| styling the Big Yellow Boots 🤝👴🏻🔥  ,#gramps #styling #howtostyle #crocs #mschf #bigredboots #astroboy #fashion #streetwear #style #outfit ,JEALOUSY,2023-08-10 21:26:27,2023-11-19 01:18:33.714850
https://www.tiktok.com/@minging888/6849904897752698113,minging888,黃吉吉的無聊日子,5000000,39000000,263800,18700,"['I love this', 'GOOD BOY ❤🥳']",,#fypシ #fyp #outfit #dogs #dogsoftiktok #puppy I choice my outfit ☺️✌️✌️,蘇荷熱播女聲開唱 remix,2020-07-16 08:19:36,2023-11-19 01:18:35.531231
